datetime,Qh,Qtau,Ustar,T_air,Rho_air,Wind_vel,Cd,qc_tot,qc_tot_ext
2023-12-27 23:30:00,-4.89,0.025,0.1378404875209022,-5.04,1.3157894736842106,3.92,0.0012364639733444393,1,1
2023-12-28 00:00:00,-5.16,0.0404,0.1752141546793523,-5.11,1.315960912052117,4.02,0.001899705452835326,1,1
2023-12-28 00:30:00,-4.23,0.0424,0.1794435844492636,-5.13,1.3167701863354038,3.75,0.002289777777777777,1,1
2023-12-28 01:00:00,-11.51,0.0695,0.2297825058615211,-5.14,1.316287878787879,4.54,0.002561664305536687,1,1
2023-12-28 01:30:00,-15.75,0.0759,0.24,-5.11,1.3177083333333333,4.18,0.0032966278244545683,1,1
2023-12-28 02:00:00,-10.05,0.0352,0.1634013463836819,-5.06,1.3183520599250935,2.86,0.003264218299183333,1,1
2023-12-28 02:30:00,-1.98,0.0305,0.1523154621172781,-5.04,1.314655172413793,2.6,0.00343195266272189,1,1
2023-12-28 03:00:00,-7.41,0.0133,0.1004987562112089,-5.03,1.316831683168317,3.33,0.0009108207306405505,1,1
2023-12-28 03:30:00,-7.81,0.027,0.1431782106327635,-5.17,1.3170731707317072,3.56,0.0016175356646888014,1,1
2023-12-28 04:00:00,-14.03,0.0561,0.2063976744055029,-5.24,1.316901408450704,3.35,0.003795945644909779,1,1
2023-12-28 04:30:00,-10.33,0.0646,0.2213594362117865,-5.34,1.3183673469387756,3.18,0.004845536173410859,1,1
2023-12-28 05:00:00,-7.55,0.1173,0.2983286778035259,-5.37,1.3179775280898878,2.96,0.010157962016070119,1,1
2023-12-28 05:30:00,-17.74,0.1393,0.3251153641401771,-5.32,1.3178807947019868,3.46,0.008829229175715858,1,1
2023-12-28 06:00:00,-15.23,0.1179,0.298998327754521,-5.37,1.3187919463087248,3.32,0.008110756278124544,1,1
2023-12-28 06:30:00,-15.89,0.204,0.39344631145812,-5.29,1.317829457364341,2.91,0.018280369858645968,1,1
2023-12-28 07:00:00,-7.54,0.1373,0.3229551052391028,-5.05,1.3163950143815917,3.2,0.010185546874999995,1,1
2023-12-28 07:30:00,-10.05,0.186,0.3760319135392633,-4.84,1.315417256011315,3.41,0.012160198140710862,1,1
2023-12-28 08:00:00,-4.09,0.2462,0.432781700167648,-4.64,1.3144687666844637,3.77,0.013178169128045647,1,1
2023-12-28 08:30:00,9.37,0.3622,0.5249761899362675,-4.51,1.31422351233672,3.5,0.022497959183673467,1,1
2023-12-28 09:00:00,20.59,0.3455,0.5128352561983234,-4.43,1.3136882129277567,3.16,0.02633792661432462,1,1
2023-12-28 09:30:00,2.38,0.2746,0.4571651780264984,-4.51,1.3138755980861243,2.9,0.02485136741973841,1,1
2023-12-28 10:00:00,10.03,0.3541,0.5191338940966964,-4.49,1.3139146567717996,2.83,0.033650064303462394,1,1
2023-12-28 10:30:00,14.0,0.5628,0.6543699259593155,-4.59,1.3143390938813635,4.56,0.020592874730686373,1,1
